outcode,latitude,longitude
CH61,53.34891859,-3.102036488
CH65,53.27706541,-2.902463981
CH70,53.192761,-2.922591
CH8,53.28245833,-3.245377008
CH88,53.19734813,-2.88332225
CH99,53.18712355,-2.889559424
CM1,51.74524627,0.456307702
CM13,51.61561883,0.33799034
CM15,51.64400064,0.303465103
CM17,51.77200547,0.146010076
CM2,51.72152596,0.486280229
CM20,51.77508951,0.102436536
CM23,51.87150292,0.158719188
CM3,51.71958135,0.58482271
CM4,51.67483222,0.390582342
CM6,51.8776928,0.364279949
CM92,51.769363,0.061281
CM98,51.752191,0.518869
CM99,51.7370874,0.475689753
CO1,51.88917234,0.908555223
CO13,51.83881197,1.237239485
CO14,51.85023713,1.267448621
CO16,51.82134214,1.12283217
CO2,51.86932819,0.894101
CO3,51.8847374,0.860196861
CO4,51.90851717,0.92122222
CO8,51.97339183,0.765747256
CR2,51.34696775,-0.081836486
CR3,51.28786324,-0.082118772
CR4,51.40449178,-0.159443205
CR44,51.382347,-0.13285
CR6,51.30820744,-0.053343331
CT1,51.27808252,1.086555918
CT10,51.36319203,1.429310021
CT11,51.3360977,1.413242822
CT13,51.26625994,1.327908656
CT16,51.14119385,1.299673048
CT19,51.08896418,1.168068413
CT2,51.29340823,1.080230094
CT20,51.07969473,1.164404078
CT21,51.07295168,1.076665603
CT3,51.27920104,1.211628288
CT4,51.22475072,1.06563918
CV9,52.58480782,-1.560583002
CW5,53.06222566,-2.522012787
CW7,53.19018536,-2.528120367
CW8,53.25372853,-2.564552176
CW9,53.25876041,-2.502376616
CW98,53.089348,-2.431667
DA13,51.37940731,0.352625079
DA15,51.44106239,0.098384315
DA16,51.46482263,0.107029389
DA17,51.48700201,0.147632307
DA4,51.38945646,0.231687678
DA5,51.44064131,0.144727773
DA7,51.46555442,0.145297409
DA8,51.47578546,0.176222957
DA9,51.44806903,0.278274114
DD10,56.74800302,-2.427527954
DD2,56.47003518,-3.030973898
DD4,56.48204604,-2.935414761
DD7,56.50294259,-2.719261872
DD8,56.65583252,-2.922612479
DD9,56.74817741,-2.668624953
DE11,52.77304882,-1.55636975
DE24,52.89012774,-1.452180886
DE45,53.21522641,-1.677365229
DE5,53.04550456,-1.403059252
DE55,53.10157629,-1.372460149
DE65,52.86735478,-1.61385389
DE7,52.97329706,-1.322318515
DE74,52.84243811,-1.329176755
DG1,55.07326297,-3.582125668
DG12,54.99000373,-3.252252638
DG13,55.17284503,-3.029983972
DG14,55.08223638,-2.982360513
DG2,55.06453172,-3.658707971
DG3,55.23756063,-3.80031069
DG4,55.37540137,-3.952858411
DG6,54.83729169,-4.055865281
DG8,54.87220596,-4.515666787
DH1,54.78232271,-1.564765587
DH5,54.82344733,-1.455456843
DH6,54.75312521,-1.464053696
DH7,54.79034516,-1.666243973
DH9,54.86852051,-1.711020221
DH97,54.779268,-1.578063
DH98,54.934649,-1.615115
DL13,54.71648471,-1.955582045
DL15,54.71052196,-1.730144781
DL16,54.69870433,-1.605380671
DL2,54.52834902,-1.601196524
DL4,54.63030733,-1.644886153
DL7,54.33792208,-1.4840635
DL8,54.29348574,-1.78758086
DL9,54.37518844,-1.708860048
DN10,53.42509638,-0.936887163
DN11,53.44915033,-1.082720942
DN14,53.70824649,-0.93932306
DN15,53.61362358,-0.652120315
DN18,53.68119657,-0.448114146
DN19,53.68390082,-0.360417667
DN21,53.41931459,-0.704690513
DN34,53.55753395,-0.113244064
DN38,53.56022167,-0.391963476
DN39,53.61590994,-0.334741066
DN41,53.5819182,-0.195616847
DN5,53.5379298,-1.17425837
DN7,53.58294244,-1.014504788
DN8,53.61521172,-0.955421947
DN9,53.50635748,-0.894092283
DT5,50.5482456,-2.442547232
DT7,50.72913628,-2.948252781
DT9,50.94182114,-2.516068223
DY10,52.3862461,-2.224922069
DY13,52.33677529,-2.281295824
DY5,52.48046093,-2.123848378
DY7,52.46618528,-2.228069072
DY8,52.46078643,-2.155698039
DY9,52.43471904,-2.122895453
E1,51.51755582,-0.059203976
E10,51.56820488,-0.013769897
E14,51.50608801,-0.019697122
E17,51.5867467,-0.02028229
E18,51.5927256,0.025005363
E2,51.52951787,-0.062631048
E3,51.52845738,-0.025887189
E4,51.62247782,-0.004851939
E6,51.52652442,0.054260419
E8,51.54331764,-0.065821332
E9,51.54409861,-0.043103959
EC1N,51.52015514,-0.108998357
EC1P,51.524505,-0.112062
EC1R,51.52486963,-0.108458993
EC1V,51.52646743,-0.098597365
EC1Y,51.52317906,-0.0933529
EC2P,51.52425385,-0.111116822
EC2V,51.51633079,-0.095289719
EC2Y,51.51970918,-0.094765661
EC3A,51.51550493,-0.082366175
EC3M,51.51287156,-0.084054779
EC3P,51.52387031,-0.110223314
EC3V,51.51354797,-0.087303844
EC4A,51.51659487,-0.108729787
EC4M,51.51440658,-0.099742215
EC4P,51.524505,-0.112062
EC4V,51.51297508,-0.100614845
EC4Y,51.51359012,-0.108896006
EC50,51.524505,-0.112062
EH10,55.92003196,-3.21114775
EH12,55.94271656,-3.273925958
EH13,55.90692203,-3.242754208
EH14,55.9097235,-3.283912126
EH15,55.94633955,-3.112449174
EH16,55.92244933,-3.155322787
EH17,55.90663197,-3.143062776
EH18,55.87642551,-3.122571236
EH2,55.95371754,-3.197780695
EH20,55.8785893,-3.15728704
EH24,55.84937364,-3.136821125
EH25,55.85979638,-3.175060436
EH26,55.83288807,-3.224662417
EH27,55.89006132,-3.416266561
EH28,55.92990418,-3.393811908
EH31,56.03733522,-2.823329422
EH34,55.90879449,-2.881494721
EH35,55.91083403,-2.943803033
EH37,55.86130889,-2.959781649
EH38,55.78593485,-2.961088692
EH39,56.04691463,-2.734056784
EH40,55.99010361,-2.658638438
EH41,55.9486325,-2.775064572
EH44,55.61897473,-3.06317617
EH45,55.65418507,-3.191291109
EH46,55.73938382,-3.354947392
EH47,55.85868273,-3.664704776
EH48,55.89947762,-3.663950743
EH49,55.97608163,-3.598896892
EH5,55.97552563,-3.219933197
EH54,55.89221743,-3.524591019
EH55,55.84690943,-3.575230752
EH6,55.97207932,-3.175650936
EH7,55.96025313,-3.166261406
EH9,55.93308688,-3.185445066
EH95,55.978614,-3.253521
EN1,51.65396138,-0.068656651
EN10,51.73868012,-0.022530148
EN3,51.66013904,-0.036995992
EN4,51.64876617,-0.161491922
EN9,51.69582972,0.014364445
EX1,50.72647205,-3.506997124
EX11,50.74682246,-3.28893796
EX13,50.78688875,-3.007932564
EX14,50.81422643,-3.190830723
EX15,50.87665221,-3.340075945
EX16,50.92228235,-3.492057741
EX17,50.81163793,-3.703802583
EX18,50.90220366,-3.887893209
EX23,50.82415779,-4.533574631
EX3,50.68502878,-3.459213313
EX37,50.9786991,-3.952724928
EX4,50.73112711,-3.527061105
EX9,50.63931874,-3.324158432
FK1,55.98581409,-3.794363471
FK11,56.14987919,-3.85174272
FK12,56.15254188,-3.801829691
FK13,56.15194482,-3.740034319
FK14,56.16688445,-3.656526181
FK15,56.20297107,-3.950575114
FK18,56.32459175,-4.32912025
FK19,56.37094918,-4.313391571
FK2,56.00447457,-3.75476425
FK4,55.99697201,-3.907148372
FK5,56.02647079,-3.821498081
FK6,56.02149859,-3.91562815
FK7,56.09680901,-3.918166535
FK8,56.13146687,-4.060835097
FK9,56.14411477,-3.942821857
FY3,53.82108088,-3.020814729
G12,55.88039542,-4.300771446
G15,55.90918478,-4.366061821
G22,55.89037014,-4.252109569
G31,55.8570304,-4.209227762
G33,55.87364842,-4.165906951
G34,55.86803572,-4.111728452
G40,55.84836926,-4.223414201
G42,55.83237169,-4.257769982
G45,55.80503375,-4.232734753
G46,55.80354893,-4.30770384
G5,55.84833355,-4.253507782
G52,55.84792852,-4.350418995
G61,55.91887641,-4.331571118
G63,56.04263533,-4.3654847
G65,55.9733238,-4.05808867
G66,55.94089433,-4.155011214
G67,55.94689765,-3.98696234
G68,55.95280371,-4.015550139
G70,55.94851167,-3.990854
G71,55.82178019,-4.074075293
G73,55.81980964,-4.207133688
G74,55.76862387,-4.174523951
G79,55.771,-4.223062
G82,55.951706,-4.574352149
G84,56.01393543,-4.755271299
GL10,51.74372905,-2.285318391
GL11,51.68956924,-2.357358815
GL12,51.62488516,-2.386913775
GL14,51.81737037,-2.479831859
GL17,51.85826574,-2.508653399
GL18,51.94186288,-2.415275086
GL2,51.84373588,-2.270547507
GL5,51.73842636,-2.220862168
GL50,51.90064142,-2.081842454
GL54,51.89717034,-1.860590739
GL55,52.06137611,-1.769781816
GL56,51.98920469,-1.705039597
GL6,51.73532057,-2.194984579
GL7,51.71183537,-1.900506219
GL8,51.64230171,-2.1722488
GU10,51.19653231,-0.79750818
GU16,51.3100864,-0.727977504
GU17,51.32968135,-0.788199408
GU19,51.36015585,-0.691998285
GU2,51.24566045,-0.593761922
